country,year,country_id,e_regiongeo,v2x_polyarchy,v2x_libdem,v2x_delibdem,v2x_egaldem,v2x_liberal,v2xcl_rol,v2x_cspart,v2x_jucon,v2x_regime,gov_seatshare,rooduijn_government,rooduijn_government_senior,gov_popul_mean,gov_popul_weighted,gov_ideol_mean,gov_ideol_weighted,no_govparties,econ_right,econ_left,rooduijn,gov_popul_prime,president,ruth_populism,singleparty_gov,syst,evnt,evnttype,rights_sum,rights_crim,rights_ruleolaw,rights_political,rights_econ,rights_ind,rights_social,diff_rights_sum,diff_rights_crim,diff_rights_ruleolaw,diff_rights_political,diff_rights_econ,diff_rights_ind,diff_rights_social,diff_conterm,diff_judind,diff_hosterm,diff_judiciary,diff_executive,date,year_start,year_end,year_interval
Albania,1990,12,3,0.187,0.075,0.094,0.226,0.198,0.045,0.156,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,38,0,27,7,0,0,7,0,0,0,0,0,0,0,NA,0,0,0,0,1990-01-01,1990-01-01,1990-07-01,1989-07-01 UTC--1990-07-01 UTC
Albania,1991,12,3,0.369,0.264,0.267,0.289,0.602,0.618,0.335,0.576,1,67.6,NA,NA,0.179,0.179,-2.241,-2.241,1,0,1,NA,0.179,NA,NA,1,1,1,2,8,0,7,1,3,1,0,-30,0,-20,-6,3,1,-7,NA,0,1,1,2,1991-01-01,1990-07-01,1991-07-01,1990-07-01 UTC--1991-07-01 UTC
Albania,1992,12,3,0.418,0.334,0.325,0.311,0.722,0.671,0.358,0.627,1,65.7,NA,NA,0.385,0.385,1.216,1.216,1,1,0,NA,0.385,NA,NA,1,0,1,1,8,0,7,1,3,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1992-01-01,1991-07-01,1992-06-30,1991-07-01 UTC--1992-06-30 UTC
Albania,1993,12,3,0.416,0.319,0.328,0.312,0.68,0.705,0.395,0.627,1,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,NA,NA,0.385,NA,NA,1,0,1,1,44,0,29,7,6,1,1,36,0,22,6,3,0,1,NA,0,0,0,0,1993-01-01,1992-07-01,1993-07-01,1992-07-01 UTC--1993-07-01 UTC
Albania,1994,12,3,0.412,0.336,0.305,0.31,0.733,0.705,0.395,0.627,1,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,NA,NA,0.385,NA,NA,1,0,0,4,44,0,29,7,6,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,1994-01-01,1993-07-01,1994-07-01,1993-07-01 UTC--1994-07-01 UTC
Albania,1995,12,3,0.426,0.345,0.304,0.317,0.737,0.717,0.395,0.627,1,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,NA,NA,0.385,NA,NA,1,0,0,4,44,0,29,7,6,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,1995-01-01,1994-07-01,1995-07-01,1994-07-01 UTC--1995-07-01 UTC
Albania,1996,12,3,0.381,0.319,0.269,0.284,0.737,0.717,0.395,0.627,1,90.6,NA,NA,0.12433333333333334,0.16199116997792495,1.306,1.221184326710817,3,1,0,NA,0.164,NA,NA,0,0,0,4,44,0,29,7,6,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,1996-01-01,1995-07-01,1996-06-30,1995-07-01 UTC--1996-06-30 UTC
Albania,1997,12,3,0.369,0.311,0.269,0.281,0.733,0.699,0.395,0.627,1,90.6,NA,NA,0.185,0.16199116997792495,-0.7995000000000001,NA,2,NA,NA,NA,0.23,NA,NA,0,0,0,4,44,0,29,7,6,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,1997-01-01,1996-07-01,1997-07-01,1996-07-01 UTC--1997-07-01 UTC
Albania,1998,12,3,0.386,0.323,0.307,0.284,0.741,0.719,0.542,0.631,1,90.6,NA,NA,0.185,0.16199116997792495,NA,NA,2,NA,NA,NA,0.23,NA,NA,0,1,1,3,70,0,50,12,7,1,5,26,0,21,5,1,0,4,NA,0,0,2,1,1998-01-01,1997-07-01,1998-07-01,1997-07-01 UTC--1998-07-01 UTC
Albania,1999,12,3,0.389,0.327,0.31,0.287,0.747,0.736,0.607,0.631,1,90.6,NA,NA,0.185,0.16199116997792495,NA,NA,2,NA,NA,NA,0.23,NA,NA,0,0,0,4,70,0,50,12,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1999-01-01,1998-07-01,1999-07-01,1998-07-01 UTC--1999-07-01 UTC
