country_name,year,leader_name,populism
Mexico,2018,Enrique Peña Nieto,Non-Populist
Sweden,2018,Loefven,Non-Populist
Colombia,2018,Manuel Santos,Non-Populist
Poland,2018,Morawiecki,Populist
Brazil,2018,Michel Temer,Non-Populist
Portugal,2018,Costa,Non-Populist
El Salvador,2018,Salvador Sánchez Cerén,Non-Populist
Bolivia,2018,Evo Morales,Populist
Honduras,2018,Juan Orlando Hernández,Non-Populist
Peru,2018,Pedro Pablo Kuczynski,Non-Populist
Argentina,2018,Mauricio Macri,Non-Populist
Venezuela,2018,Nicolás Maduro Moras,Populist
Nicaragua,2018,Daniel Ortega,Populist
Chile,2018,Sebastián Piñera,Non-Populist
Costa Rica,2018,Luis Guillermo Solís,Non-Populist
Ecuador,2018,Lenin Moreno,Non-Populist
France,2018,Philippe,Non-Populist
Germany,2018,Merkel,Non-Populist
Guatemala,2018,Jimmy Morales,Non-Populist
Ireland,2018,Varadkar,Non-Populist
Italy,2018,Gentiloni,Non-Populist
Latvia,2018,Kucinskis,Non-Populist
Netherlands,2018,Rutte,Non-Populist
Panama,2018,Juan Carlos Varela,Non-Populist
Spain,2018,Rajoy,Non-Populist
United Kingdom,2018,May,Non-Populist
Uruguay,2018,Tabaré Vázquez,Non-Populist
Dominican Republic,2018,Danilo Medina Sánchez,Non-Populist
Austria,2018,Kurz,Non-Populist
Belgium,2018,Michel,Non-Populist
Bulgaria,2018,Borisov,Populist
Croatia,2018,Plenkovic,Non-Populist
Cyprus,2018,Anastasiades,Non-Populist
Czech Republic,2018,Babis,Populist
Denmark,2018,Rasmussen,Non-Populist
Estonia,2018,Ratas,Non-Populist
Finland,2018,Sipilae,Non-Populist
Greece,2018,Tsipras,Populist
Iceland,2018,Jakobsdottir,Non-Populist
Lithuania,2018,Skvernelis,Non-Populist
Luxembourg,2018,Bettel,Non-Populist
Malta,2018,Muscat,Non-Populist
Norway,2018,Solberg,Non-Populist
Paraguay,2018,Horacio Cartes Jara,Non-Populist
Romania,2018,Tudose,Non-Populist
Slovakia,2018,Fico,Non-Populist
Slovenia,2018,Cerar,Non-Populist
Hungary,2018,Orban,Populist
